"Waterbody";"Matrix";"Substance";"Status";"Unit";"Threshold";"Response"
"'1";"BioEffect";"VDSI(Buccinum,Nassarius) - not Littorina";0.0188888888888889;"VDSI";0.3;1
"'1";"BioEffect";"VDSI(Neptunea,Nucella)";0.706666666666667;"VDSI";2;1
"'3";"BioEffect";"VDSI(Buccinum,Nassarius) - not Littorina";0.0133333333333333;"VDSI";0.3;1
"'3";"BioEffect";"VDSI(Neptunea,Nucella)";2.6;"VDSI";2;1
"'3";"Sediment";"Benzo(ghi]perylene";12.4;"µg/kg";85;1
"'3";"Sediment";"Benzo[a]anthracene";5.6;"µg/kg";261;1
"'3";"Sediment";"Benzo[a]pyrene";9.8;"µg/kg";430;1
"'3";"Sediment";"Cd";0.11;"mg/kg";1.2;1
"'3";"Sediment";"Chrysene";0.25;"µg/kg";384;1
"'3";"Sediment";"Cr";12.5;"mg/kg";81;1
"'3";"Sediment";"Cu";2.8;"mg/kg";34;1
"'3";"Sediment";"Dibenzotiophene";1.3;"µg/kg";190;1
"'3";"Sediment";"Dimethylphenanthrene";0.5;"µg/kg";200;1
"'3";"Sediment";"Fluoranthene";18.5;"µg/kg";600;1
"'3";"Sediment";"Hg";0.01;"mg/kg";0.15;1
"'3";"Sediment";"Indeno[1,2,3-cd]pyrene";21.8;"µg/kg";240;1
"'3";"Sediment";"Naphtalene";4.2;"µg/kg";160;1
"'3";"Sediment";"Pb";12.7;"mg/kg";47;1
"'3";"Sediment";"Phenathrene";4.9;"µg/kg";240;1
"'3";"Sediment";"Pyrene";12.8;"µg/kg";665;1
"'3";"Sediment";"Zn";27;"mg/kg";150;1
"'3";"Sediment";"tbt, sediment";0.5;"µg/kg";0.8;1
"'12";"Sediment";"Anthracene";0.5;"µg/kg";85;1
"'12";"Sediment";"Benzo(ghi]perylene";1.9;"µg/kg";85;1
"'12";"Sediment";"Benzo[a]anthracene";1.6;"µg/kg";261;1
"'12";"Sediment";"Benzo[a]pyrene";3.5;"µg/kg";430;1
"'12";"Sediment";"Cd";0.025;"mg/kg";1.2;1
"'12";"Sediment";"Chrysene";0.9;"µg/kg";384;1
"'12";"Sediment";"Cr";24.55;"mg/kg";81;1
"'12";"Sediment";"Cu";1.35;"mg/kg";34;1
"'12";"Sediment";"Dibenzotiophene";0.25;"µg/kg";190;1
"'12";"Sediment";"Dimethylphenanthrene";0.5;"µg/kg";200;1
"'12";"Sediment";"Fluoranthene";1.75;"µg/kg";600;1
"'12";"Sediment";"Hg";0.0075;"mg/kg";0.15;1
"'12";"Sediment";"Indeno[1,2,3-cd]pyrene";1.5;"µg/kg";240;1
"'12";"Sediment";"Naphtalene";3.25;"µg/kg";160;1
"'12";"Sediment";"Pb";8.65;"mg/kg";47;1
"'12";"Sediment";"Phenathrene";0.5;"µg/kg";240;1
"'12";"Sediment";"Pyrene";1.65;"µg/kg";665;1
"'12";"Sediment";"Zn";22;"mg/kg";150;1
"'12";"Sediment";"tbt, sediment";0.5;"µg/kg";0.8;1
"'21";"BioEffect";"VDSI(Buccinum,Nassarius) - not Littorina";0;"VDSI";0.3;1
"'21";"BioEffect";"VDSI(Neptunea,Nucella)";0.923333333333333;"VDSI";2;1
"'21";"Sediment";"Anthracene";3.3;"µg/kg";85;1
"'21";"Sediment";"Benzo(ghi]perylene";30.1;"µg/kg";85;1
"'21";"Sediment";"Benzo[a]anthracene";10.7;"µg/kg";261;1
"'21";"Sediment";"Benzo[a]pyrene";20.2;"µg/kg";430;1
"'21";"Sediment";"Cd";0.07;"mg/kg";1.2;1
"'21";"Sediment";"Chrysene";12.7;"µg/kg";384;1
"'21";"Sediment";"Cr";58.1;"mg/kg";81;1
"'21";"Sediment";"Cu";12.1;"mg/kg";34;1
"'21";"Sediment";"Dibenzotiophene";3.8;"µg/kg";190;1
"'21";"Sediment";"Dimethylphenanthrene";1.2;"µg/kg";200;1
"'21";"Sediment";"Fluoranthene";25.9;"µg/kg";600;1
"'21";"Sediment";"Hg";0.03;"mg/kg";0.15;1
"'21";"Sediment";"Indeno[1,2,3-cd]pyrene";36.5;"µg/kg";240;1
"'21";"Sediment";"Naphtalene";11.2;"µg/kg";160;1
"'21";"Sediment";"Pb";18;"mg/kg";47;1
"'21";"Sediment";"Phenathrene";20.7;"µg/kg";240;1
"'21";"Sediment";"Pyrene";22.4;"µg/kg";665;1
"'21";"Sediment";"Zn";45;"mg/kg";150;1
"'21";"Sediment";"tbt, sediment";0.5;"µg/kg";0.8;1
"'22";"Sediment";"Anthracene";1;"µg/kg";85;1
"'22";"Sediment";"Benzo(ghi]perylene";17.8;"µg/kg";85;1
"'22";"Sediment";"Benzo[a]anthracene";8.1;"µg/kg";261;1
"'22";"Sediment";"Benzo[a]pyrene";15.7;"µg/kg";430;1
"'22";"Sediment";"Cd";0.07;"mg/kg";1.2;1
"'22";"Sediment";"Chrysene";8.7;"µg/kg";384;1
"'22";"Sediment";"Cr";44.3;"mg/kg";81;1
"'22";"Sediment";"Cu";3.8;"mg/kg";34;1
"'22";"Sediment";"Dibenzotiophene";2.6;"µg/kg";190;1
"'22";"Sediment";"Dimethylphenanthrene";1.2;"µg/kg";200;1
"'22";"Sediment";"Fluoranthene";18.3;"µg/kg";600;1
"'22";"Sediment";"Hg";0.028;"mg/kg";0.15;1
"'22";"Sediment";"Indeno[1,2,3-cd]pyrene";21.2;"µg/kg";240;1
"'22";"Sediment";"Naphtalene";7.5;"µg/kg";160;1
"'22";"Sediment";"Pb";16.7;"mg/kg";47;1
"'22";"Sediment";"Phenathrene";14.3;"µg/kg";240;1
"'22";"Sediment";"Pyrene";17;"µg/kg";665;1
"'22";"Sediment";"Zn";38;"mg/kg";150;1
"'22";"Sediment";"tbt, sediment";0.5;"µg/kg";0.8;1
"'36";"Biota";"Anthracene,mussel";0.5;"µg/kg";290;1
"'36";"Biota";"Benzfluoranthen b+j+k";1.3;"µg/kg";5;1
"'36";"Biota";"Benzo[a]anthracene,mussel";1.5;"µg/kg";80;1
