Waterbody;Matrix;Substance;Threshold;Status;Units
EEEE_1;Water;CAS_104-40-5 - 4-nonylphenol;2;0.005;µg/l
EEEE_1;Water;CAS_107-06-2 - 1,2-Dichloroethane;10;0.05;µg/l
EEEE_1;Water;CAS_117-81-7 - Di(2-ethylhexyl)phthalate (DEHP);1.3;0.025;µg/l
EEEE_1;Biota ;CAS_118-74-1 - Hexachlorobenzene;10;0.13;µg/kg ww
EEEE_1;Water;CAS_118-74-1 - Hexachlorobenzene;0.05;0.0025;µg/l
EEEE_1;Water;CAS_120-12-7 - Anthracene;0.4;0.005;µg/l
EEEE_1;Water;CAS_140-66-9 - Octylphenol (4-(1,1',3,3'-tetramethylbutyl)-phenol);0.01;0.005;µg/l
EEEE_1;Water;CAS_206-44-0 - Fluoranthene;1;0.005;µg/l
EEEE_1;Biota ;CAS_50-29-3 - DDT, p,p';;0.068;
EEEE_1;Water;CAS_50-32-8 - Benzo(a)pyrene;0.1;0.005;µg/l
EEEE_1;Biota ;CAS_608-93-5 - Pentachlorobenzene;367;0.01;ug/kg ww
EEEE_1;Water;CAS_608-93-5 - Pentachlorobenzene;0.0007;0.0025;µg/l
EEEE_1;Water;CAS_67-66-3 - Trichloromethane;2.5;0.24;µg/l
EEEE_1;Water;CAS_71-43-2 - Benzene;50;0.1;µg/l
EEEE_1;Biota ;CAS_7439-92-1 - Lead and its compounds;1000;87.5;ug/kg ww
EEEE_1;Water;CAS_7439-92-1 - Lead and its compounds;7.2;1.08;µg/l
EEEE_1;Biota ;CAS_7439-97-6 - Mercury and its compounds;20;87.22;µg/kg ww
EEEE_1;Water;CAS_7439-97-6 - Mercury and its compounds;0.07;0.025;µg/l
EEEE_1;Biota ;CAS_7440-02-0 - Nickel and its compounds;730;367;ug/kg ww
EEEE_1;Water;CAS_7440-02-0 - Nickel and its compounds;20;10.75;µg/l
EEEE_1;Biota ;CAS_7440-43-9 - Cadmium and its compounds;160;81.44;ug/kg ww
EEEE_1;Water;CAS_7440-43-9 - Cadmium and its compounds;0.2;0.01;µg/l
EEEE_1;Water;CAS_75-09-2 - Dichloromethane;20;0.05;µg/l
EEEE_1;Biota ;CAS_87-68-3 - Hexachlorobutadiene;55;0.0048;µg/kg ww
EEEE_1;Water;CAS_87-86-5 - Pentachlorophenol;1;0.2;µg/l
EEEE_1;Water;CAS_91-20-3 - Naphthalene;1.2;0.005;µg/l
EEEE_1;Biota ;CAS_118-74-1 - Hexachlorobenzene;10;0.73;µg/kg ww
EEEE_1;Biota ;CAS_50-29-3 - DDT, p,p';;0.268;
EEEE_1;Biota ;CAS_608-93-5 - Pentachlorobenzene;367;0.08;ug/kg ww
EEEE_1;Biota ;CAS_7439-92-1 - Lead and its compounds;1000;56.8;ug/kg ww
EEEE_1;Biota ;CAS_7439-97-6 - Mercury and its compounds;20;12.94;µg/kg ww
EEEE_1;Biota ;CAS_7440-02-0 - Nickel and its compounds;730;254.83;ug/kg ww
